date_iso,date_label,day,festival,month,source_url
,"April 19, 2026 / १९ एप्रिल २०२६",Sunday / रविवार,Akshaya Tritiya / अक्षय तृतीया,april,https://kalnirnay.co.in/april/
,"April 23, 2026 / २३ एप्रिल २०२६",Thursday / गुरुवार,Ganga Pujan / गंगा पूजन,april,https://kalnirnay.co.in/april/
,"April 27, 2026 / २७ एप्रिल २०२६",Monday / सोमवार,Mohini Ekadashi / मोहिनी एकादशी,april,https://kalnirnay.co.in/april/
,"April 30, 2026 / ३० एप्रिल २०२६",Thursday / गुरुवार,Narasimha Jayanti / नरसिंह जयंती,april,https://kalnirnay.co.in/april/
,"May 1, 2026 / ०१ मे २०२६",Friday / शुक्रवार,Buddha Purnima / बुद्ध पूर्णिमा,may,https://kalnirnay.co.in/may/
,"May 5, 2026 / ०५ मे २०२६",Tuesday / मंगळवार,Ekadanta Sankashti / एकदंत संकष्टि,may,https://kalnirnay.co.in/may/
,"May 13, 2026 / १३ मे २०२६",Wednesday / बुधवार,Apara Ekadashi / अपरा एकादशी,may,https://kalnirnay.co.in/may/
,"May 15, 2026 / १५ मे २०२६",Friday / शुक्रवार,Vrishabha Sankranti / वृषभ संक्रांत,may,https://kalnirnay.co.in/may/
,"May 16, 2026 / १६ मे २०२६",Saturday / शनिवार,Shani Jayanti / शनि जयंती,may,https://kalnirnay.co.in/may/
,"May 25, 2026 / २५ मे २०२६",Monday / सोमवार,Ganga Dussehra / गंगा दशहरा,may,https://kalnirnay.co.in/may/
,"May 27, 2026 / २७ मे २०२६",Wednesday / बुधवार,Padmini Ekadashi / पद्मिनी एकादशी,may,https://kalnirnay.co.in/may/
,"June 3, 2026 / ०३ जून २०२६",Wednesday / बुधवार,Vibhuvana Sankashti / विभुवन संकष्टि,june,https://kalnirnay.co.in/june/
,"June 7, 2026 / ०७ जून २०२६",Sunday / रविवार,Adhika Bhanu Saptami / अधिका भानु सप्तमी,june,https://kalnirnay.co.in/june/
,"June 11, 2026 / ११ जून २०२६",Thursday / गुरुवार,Parama Ekadashi / परम एकादशी,june,https://kalnirnay.co.in/june/
,"June 15, 2026 / १५ जून २०२६",Monday / सोमवार,Mithuna Sankranti / मिथुन संक्रांत,june,https://kalnirnay.co.in/june/
,"June 21, 2026 / २१ जून २०२६",Sunday / रविवार,Bhanu Saptami / भानु सप्तमी,june,https://kalnirnay.co.in/june/
,"June 25, 2026 / २५ जून २०२६",Thursday / गुरुवार,Nirjala Ekadashi / निर्जला एकादशी,june,https://kalnirnay.co.in/june/
,"June 29, 2026 / २९ जून २०२६",Monday / सोमवार,Vat Purnima Vrat / वट पूर्णिमा व्रत,june,https://kalnirnay.co.in/june/
,"July 3, 2026 / ०३ जुलै २०२६",Friday / शुक्रवार,Krishnapingala Sankashti / कृष्णपिंगला संकष्टि,july,https://kalnirnay.co.in/july/
,"July 10, 2026 / १० जुलै २०२६",Friday / शुक्रवार,Yogini Ekadashi / योगिनी एकादशी,july,https://kalnirnay.co.in/july/
,"July 11, 2026 / ११ जुलै २०२६",Saturday / शनिवार,Gauna Yogini Ekadashi / गौना योगिनी एकादशी,july,https://kalnirnay.co.in/july/
,"July 11, 2026 / ११ जुलै २०२६",Saturday / शनिवार,Vaishnava Yogini Ekadashi / वैष्णव योगिनी एकादशी,july,https://kalnirnay.co.in/july/
,"July 16, 2026 / १६ जुलै २०२६",Thursday / गुरुवार,Karka Sankranti / कर्क संक्रांत,july,https://kalnirnay.co.in/july/
,"July 25, 2026 / २५ जुलै २०२६",Saturday / शनिवार,Devshayani Ekadashi / देवशयनी एकादशी,july,https://kalnirnay.co.in/july/
,"July 29, 2026 / २९ जुलै २०२६",Wednesday / बुधवार,Guru Purnima / गुरु पूर्णिमा,july,https://kalnirnay.co.in/july/
,"August 2, 2026 / ०२ ऑगस्ट २०२६",Sunday / रविवार,Gajanana Sankashti / गजानन संकष्टि,august,https://kalnirnay.co.in/august/
,"August 9, 2026 / ०९ ऑगस्ट २०२६",Sunday / रविवार,Kamika Ekadashi / कामिका एकादशी,august,https://kalnirnay.co.in/august/
,"August 12, 2026 / १२ ऑगस्ट २०२६",Wednesday / बुधवार,Surya Grahan *Purna / सूर्य ग्रहण *पूर्ण,august,https://kalnirnay.co.in/august/
,"August 17, 2026 / १७ ऑगस्ट २०२६",Monday / सोमवार,Nag Panchami / नाग पंचमी,august,https://kalnirnay.co.in/august/
,"August 17, 2026 / १७ ऑगस्ट २०२६",Monday / सोमवार,Simha Sankranti / सिंह संक्रांत,august,https://kalnirnay.co.in/august/
,"August 23, 2026 / २३ ऑगस्ट २०२६",Sunday / रविवार,Shravana Putrada Ekadashi / श्रावण पुत्रदा एकादशी,august,https://kalnirnay.co.in/august/
,"August 24, 2026 / २४ ऑगस्ट २०२६",Monday / सोमवार,Vaishnava Shravana Putrada Ekadashi / वैष्णव श्रावण पुत्रदा एकादशी,august,https://kalnirnay.co.in/august/
,"August 28, 2026 / २८ ऑगस्ट २०२६",Friday / शुक्रवार,Varad Lakshmi Vrat / वरद लक्ष्मी व्रत,august,https://kalnirnay.co.in/august/
,"August 28, 2026 / २८ ऑगस्ट २०२६",Friday / शुक्रवार,Raksha Bandhan / रक्षाबंधन,august,https://kalnirnay.co.in/august/
,"August 28, 2026 / २८ ऑगस्ट २०२६",Friday / शुक्रवार,Narali Purnima / नारळी पूर्णिमा,august,https://kalnirnay.co.in/august/
,"August 28, 2026 / २८ ऑगस्ट २०२६",Friday / शुक्रवार,Chandra Grahan *Anshika / चंद्र ग्रहण *अंशिक,august,https://kalnirnay.co.in/august/
,"August 31, 2026 / ३१ ऑगस्ट २०२६",Monday / सोमवार,Heramba Sankashti / हेरंब संकष्टि,august,https://kalnirnay.co.in/august/
,"September 4, 2026 / ०४ सप्टेंबर २०२६",Friday / शुक्रवार,Krishna Janmashtami / कृष्ण जन्माष्टमी,september,https://kalnirnay.co.in/september/
,"September 4, 2026 / ०४ सप्टेंबर २०२६",Friday / शुक्रवार,Agastya Arghya / अगस्त्य अर्घ्य,september,https://kalnirnay.co.in/september/
,"September 5, 2026 / ०५ सप्टेंबर २०२६",Saturday / शनिवार,Gopalakala / गोपालकाला,september,https://kalnirnay.co.in/september/
,"September 7, 2026 / ०७ सप्टेंबर २०२६",Monday / सोमवार,Aja Ekadashi / आजा एकादशी,september,https://kalnirnay.co.in/september/
